,,,Split 1,,,,Split 2,,,,Split 3,,,
ID,SMILES,Expr,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set
103,CCCCOP(=O)(SCC[N+](c1ccc(cc1)OC)(C)C)OCCCC,7.41,57.07524,7.3366,0.0734,Tr,46.91398,7.2625,0.1475,ST,51.68108,7.4578,-0.0478,Ca
104,CCCCOP(=O)(SCC[N+](c1ccc(cc1)C)(C)C)OCCCC,7.79,57.89433,7.5539,0.2361,Va,48.37157,7.6658,0.1242,Va,52.58129,7.7319,0.0581,Va
105,CCCCOP(=O)(SCC[N+](c1cccc(c1)C)(C)C)OCCCC,7.57,59.32577,7.9338,-0.3638,Va,49.38028,7.9449,-0.3749,Va,53.92118,8.1398,-0.5698,Va
106,CCCCOP(=O)(OCCCC)SCC[N+](c1ccccc1)(C)C,7.8,58.01728,7.5866,0.2134,Tr,47.61344,7.456,0.344,Ca,52.26257,7.6349,0.1651,ST
107,CCCCOP(=O)(SCC[N+](c1cccc(c1)OC)(C)C)OCCCC,7.62,58.50668,7.7165,-0.0965,Tr,47.92269,7.5416,0.0784,ST,53.02097,7.8657,-0.2457,Ca
108,COc1ccc(cc1)N(CCSP(=O)(OC(C)C)OC(C)C)C,3.4,40.87501,3.0371,0.3629,Te,31.4723,2.9896,0.4104,Te,35.70773,2.5951,0.8049,Te
109,CC(OP(=O)(OC(C)C)SCCN(c1ccc(cc1)C)C)C,3.63,43.36268,3.6973,-0.0673,Tr,34.58338,3.8505,-0.2205,ST,39.06298,3.6165,0.0135,Ca
110,CC(OP(=O)(OC(C)C)SCCN(c1cccc(c1)C)C)C,3.57,44.79412,4.0772,-0.5072,Tr,35.59208,4.1296,-0.5596,Ca,40.40287,4.0244,-0.4544,ST
111,CC(OP(=O)(OC(C)C)SCCN(c1ccccc1)C)C,2.95,46.7582,4.5985,-1.6485,Va,39.20595,5.1296,-2.1796,Va,42.86079,4.7727,-1.8227,Va
112,COc1cccc(c1)N(CCSP(=O)(OC(C)C)OC(C)C)C,3.53,42.30645,3.417,0.113,Tr,32.48101,3.2687,0.2613,ST,37.04762,3.003,0.527,Ca
113,CC(OP(=O)(OC(C)C)SCCN(c1ccc(cc1)Cl)C)C,4.63,46.31731,4.4815,0.1485,Tr,36.8471,4.4769,0.1531,ST,41.75319,4.4355,0.1945,Ca
114,CC(OP(=O)(OC(C)C)SCCN(c1cccc(c1)Cl)C)C,4.65,47.74876,4.8614,-0.2114,Te,37.85581,4.756,-0.106,Te,43.09308,4.8434,-0.1934,Te
115,COc1ccc(cc1)[N+](CCSP(=O)(OC(C)C)OC(C)C)(C)C,6.08,52.69903,6.1751,-0.0951,Te,43.44524,6.3026,-0.2226,Te,47.38066,6.1487,-0.0687,Te
116,CC(OP(=O)(OC(C)C)SCC[N+](c1ccc(cc1)C)(C)C)C,6.2,52.27373,6.0623,0.1377,Tr,42.7619,6.1136,0.0864,Ca,47.3324,6.134,0.066,ST
117,CC(OP(=O)(OC(C)C)SCC[N+](c1cccc(c1)C)(C)C)C,6.48,53.70517,6.4422,0.0378,Tr,43.77061,6.3927,0.0873,ST,48.67229,6.5419,-0.0619,Ca
118,CC(OP(=O)(OC(C)C)SCC[N+](c1ccccc1)(C)C)C,5.97,53.92385,6.5002,-0.5302,Tr,43.50844,6.3201,-0.3501,Ca,48.03488,6.3478,-0.3778,ST
119,COc1cccc(c1)[N+](CCSP(=O)(OC(C)C)OC(C)C)(C)C,6.46,54.13047,6.555,-0.095,Tr,44.45395,6.5818,-0.1218,ST,48.72055,6.5566,-0.0966,Ca
120,CCOP(=O)(SCCN(C1CCCCC1)C)OCC,5.66,51.69238,5.908,-0.248,Te,41.68426,5.8154,-0.1554,Te,45.98658,5.7243,-0.0643,Te
121,CCCOP(=O)(OCCC)SCCN(C1CCCCC1)C,6.38,51.22677,5.7844,0.5956,Va,41.25279,5.696,0.684,Va,46.02334,5.7354,0.6446,Va
122,CC(OP(=O)(OC(C)C)SCCN(C1CCCCC1)C)C,4.26,48.19489,4.9798,-0.7198,Tr,38.22097,4.857,-0.597,Ca,42.85361,4.7705,-0.5105,ST
123,CCCCOP(=O)(OCCCC)SCCN(C1CCCCC1)C,6.54,52.28833,6.0661,0.4739,Tr,42.32598,5.9929,0.5471,ST,47.0813,6.0575,0.4825,Ca
124,CCOP(=O)(SCC[N+](C1CCCCC1)(C)C)OCC,6.3,52.454,6.1101,0.1899,Tr,42.5588,6.0574,0.2426,Ca,46.75909,5.9594,0.3406,ST
125,CCCOP(=O)(OCCC)SCC[N+](C1CCCCC1)(C)C,5,51.98839,5.9865,-0.9865,Tr,42.12733,5.938,-0.938,Ca,46.79584,5.9706,-0.9706,ST
126,CC(OP(=O)(OC(C)C)SCC[N+](C1CCCCC1)(C)C)C,7.11,48.95651,5.1819,1.9281,Tr,39.09552,5.099,2.011,ST,43.62611,5.0057,2.1043,Ca
127,CCCCOP(=O)(OCCCC)SCC[N+](C1CCCCC1)(C)C,5.11,53.04995,6.2683,-1.1583,Tr,43.20052,6.2349,-1.1249,ST,47.8538,6.2927,-1.1827,Ca
128,CP(=O)(SC(c1ccccc1)c1ccccc1)C,5.69,46.06799,4.4153,1.2747,Tr,37.28831,4.5989,1.0911,Ca,42.25867,4.5894,1.1006,ST
129,CCOP(=O)(SC(c1ccccc1)c1ccccc1)OCC,5.26,48.85113,5.1539,0.1061,Va,38.59027,4.9592,0.3008,Va,43.93118,5.0985,0.1615,Va
130,CCP(=O)(SC(c1ccccc1)c1ccccc1)CC,3.16,45.85159,4.3579,-1.1979,Tr,36.71136,4.4393,-1.2793,ST,42.10827,4.5436,-1.3836,Ca
